District;2018;2019;2020;2021;2022;2023;2024
!Kheis LM: NC084;13;12,7;15,6;19,7;12,4;14,7;11,5
A Nzo DM: DC44;8,6;5,3;6;6,4;6,3;8;7,1
Abaqulusi LM: KZN263;2,5;2,8;2,4;2,2;2,6;2,1;0,86
Alfred Duma LM: KZN238;11,4;5,7;4,1;5,2;6,1;6,7;5,5
Amahlathi LM: EC124;6,9;5,7;5,3;7,7;10,2;8,7;6,5
Amajuba DM: DC25;8,6;9,1;6,6;7,9;5,1;4,2;4,7
Amathole DM: DC12;9,4;7,7;8,2;9,3;12,2;9,7;7,1
Ba-Phalaborwa LM: LIM334;5,6;3,2;3;3,7;5,3;6,8;6
Beaufort West LM: WC053;13,3;12,6;12,3;17;13,4;11,4;12,1
Bela-Bela LM: LIM366;0;2,1;0;2,8;3,6;2,3;0,67
Bergrivier LM: WC013;10,5;7,2;6;9,3;17,3;15,8;11,3
Big 5 Hlabisa LM: KZN276;2,1;2;1,7;2,8;2,1;1,5;0,6
Bitou LM: WC047;15,4;13,4;10,3;15,7;22,1;18,8;16,9
Bloemfontein SD: MAN_Bloem;13,4;10,5;11;10;11;10,9;7,2
Blouberg LM: LIM351;6,5;7,3;7,6;5;3,4;1,7;0,34
Blue Crane Route LM: EC102;13,5;9,6;7,6;11,5;14,9;9,6;9
Bojanala Platinum DM: DC37;13,4;9,3;8,7;7;6;5,5;4,7
Botshabelo SD: MAN_Bot;6;7,2;11,4;11;12,6;7,4;4
Breede Valley LM: WC025;23,9;43,4;18,3;26,6;18,8;16,5;14,5
Buffalo City MM: BUF;20,2;22,5;21,7;14,6;10,2;9,5;6,8
Buffalo City MM: BUF_MM;20,2;22,5;21,7;14,6;10,2;9,5;6,8
Buffalo City SD: BUF_SD;20,2;22,5;21,7;14,6;10,2;9,5;6,8
Bushbuckridge LM: MP325;5,3;8;6,9;4,5;5,9;4;3,3
C Hani DM: DC13;11,9;11,2;12,5;12,1;15,3;11,9;11
Cape Agulhas LM: WC033;12,9;7,1;11,6;19,5;24,3;28,6;22,7
Cape Town MM: CPT;18,2;13,3;14,1;17,5;23,6;19,6;14,5
Cape Town MM: CPT_MM;18,2;13,3;14,1;17,5;23,6;19,6;14,5
Cape Winelands DM: DC2;19,4;26,4;16,2;18,4;16,4;16,1;12,7
Capricorn DM: DC35;7,4;4,5;6,1;4,7;3,2;1,9;0,79
Cederberg LM: WC012;12,7;8,2;18,7;21,4;20,5;22,2;21,4
Central Karoo DM: DC5;14,1;11,7;12;19,9;18,2;13;14,4
Chief Albert Luthuli LM: MP301;7,7;3,7;6,2;3,9;5;6;3,6
City of Ekurhuleni MM: EKU;8,3;5,5;4,6;3,2;2,5;3,2;3,3
City of Matlosana LM: NW403;17,4;9,9;7,6;5,5;3,9;4,6;1,3
City of Mbombela LM: MP326;10,6;8,8;5,8;3,8;5,6;6,2;3,5
