District;2024;DS TB patients who were lost to follow up;All DS TB patients in cohort
!Kheis LM: NC084;11,5;15;131
A Nzo DM: DC44;7,1;187;2644
Abaqulusi LM: KZN263;0,86;6;699
Alfred Duma LM: KZN238;5,5;47;849
Amahlathi LM: EC124;6,5;43;663
Amajuba DM: DC25;4,7;90;1916
Amathole DM: DC12;7,1;369;5231
Ba-Phalaborwa LM: LIM334;6;14;234
Beaufort West LM: WC053;12,1;77;639
Bela-Bela LM: LIM366;0,67;1;149
Bergrivier LM: WC013;11,3;71;628
Big 5 Hlabisa LM: KZN276;0,6;3;499
Bitou LM: WC047;16,9;79;468
Bloemfontein SD: MAN_Bloem;7,2;139;1922
Blouberg LM: LIM351;0,34;1;297
Blue Crane Route LM: EC102;9;34;376
Bojanala Platinum DM: DC37;4,7;142;3009
Botshabelo SD: MAN_Bot;4;26;646
Breede Valley LM: WC025;14,5;295;2029
Buffalo City MM: BUF;6,8;476;7006
Buffalo City MM: BUF_MM;6,8;476;7006
Buffalo City SD: BUF_SD;6,8;476;7006
Bushbuckridge LM: MP325;3,3;52;1587
C Hani DM: DC13;11;367;3340
Cape Agulhas LM: WC033;22,7;62;273
Cape Town MM: CPT;14,5;3654;25202
Cape Town MM: CPT_MM;14,5;3654;25202
Cape Winelands DM: DC2;12,7;1025;8091
Capricorn DM: DC35;0,79;18;2288
Cederberg LM: WC012;21,4;137;639
Central Karoo DM: DC5;14,4;132;918
Chief Albert Luthuli LM: MP301;3,6;16;443
City of Ekurhuleni MM: EKU;3,3;239;7294
City of Matlosana LM: NW403;1,3;21;1638
City of Mbombela LM: MP326;3,5;73;2088
City of uMhlathuze LM: KZN282;2,6;56;2116
Collins Chabane LM: LIM345;0,58;2;344
CT Eastern SD: CPT_East;16,4;648;3943
CT Khayelitsha SD: CPT_Khaye;11,3;417;3688
CT Klipfontein SD: CPT_Klip;15,2;468;3073
CT Mitch Plain SD: CPT_Mitch;11;357;3249
CT Northern SD: CPT_North;15,7;345;2195
CT Southern SD: CPT_South;15,4;349;2268
CT Tygerberg SD: CPT_Tyger;15,3;595;3885
CT Western SD: CPT_West;16,4;475;2901
Dannhauser LM: KZN254;2,1;5;238
Dawid Kruiper LM: NC087;7,3;64;882
Dihlabeng LM: FS192;3,6;15;413
Dikgatlong LM: NC092;0,63;2;317
Dipaleseng LM: MP306;4,8;4;83
Ditsobotla LM: NW384;4,9;28;569
Dr B Naude LM: EC101;7,8;51;656
Dr JS Moroka LM: MP316;2,2;12;542
Dr K Kaunda DM: DC40;3;90;3010
Dr N Dlamini Zuma LM: KZN436;3,1;9;289
Dr Pixley Ka Isaka Seme LM: MP304;1,2;3;251
Drakenstein LM: WC023;9,9;217;2199
E Motsoaledi LM: LIM472;5;29;579
Eastern Cape: EC;9,9;4404;44457
eDumbe LM: KZN261;0,95;2;211
Ehlanzeni DM: DC32;2,9;160;5453
Ekurhuleni E1 SD: EKU_E1;2,1;26;1232
Ekurhuleni E2 SD: EKU_E2;2,1;23;1089
Ekurhuleni N1 SD: EKU_N1;2,4;30;1246
Ekurhuleni N2 SD: EKU_N2;2,8;31;1091
Ekurhuleni S1 SD: EKU_S1;3;49;1651
Ekurhuleni S2 SD: EKU_S2;8,1;80;985
Elundini LM: EC141;8,9;59;660
Emadlangeni LM: KZN253;5,3;13;246
Emakhazeni LM: MP314;2,9;5;171
Emalahleni LM: EC136;8,3;39;471
Emalahleni LM: MP312;7,1;62;878
Emfuleni LM: GT421;4,9;110;2242
Emthanjeni LM: NC073;13,9;42;303
Endumeni LM: KZN241;0,47;1;214
Engcobo LM: EC137;16;80;499
Enoch Mgijima LM: EC139;10,2;88;863
Ephraim Mogale LM: LIM471;9,6;30;311
eThekwini MM Sub: ETH_MM;6,6;1158;17653
eThekwini MM: ETH;6,6;1158;17653
Fetakgomo Tubatse LM: LIM476;7,4;49;666
Fezile Dabi DM: DC20;7,4;128;1722
Frances Baard DM: DC9;8,6;222;2579
Free State: FS;7,4;666;9007
G Sibande DM: DC30;3,5;90;2579
Gamagara LM: NC453;27,9;34;122
Garden Route DM: DC4;18;986;5479
Ga-Segonyana LM: NC452;8,3;58;702
Gauteng: GP;5,2;1649;31553
George LM: WC044;18,3;363;1984
Govan Mbeki LM: MP307;6,4;48;749
Gr Kokstad LM: KZN433;3,8;17;447
Great Kei LM: EC123;14,1;29;206
Greater Giyani LM: LIM331;1,2;4;332
Greater Letaba LM: LIM332;2,6;12;457
Greater Taung LM: NW394;7,5;38;509
Greater Tzaneen LM: LIM333;3,5;34;981
Hantam LM: NC065;13,1;33;251
Harry Gwala DM: DC43;5,3;89;1682
Hessequa LM: WC042;11,7;37;316
iLembe DM: DC29;6,5;204;3120
Impendle LM: KZN224;5,7;2;35
Ingquza Hill LM: EC153;4,7;96;2049
Inkosi Langalibalele LM: KZN237;1,3;5;391
Intsika Yethu LM: EC135;8,9;42;474
Inxuba Yethemba LM: EC131;10,5;67;638
JB Marks LM: NW405;4,8;40;839
Joe Gqabi DM: DC14;9,4;153;1627
Joe Morolong LM: NC451;8,5;30;351
Johannesburg A SD: JHB_A;5,6;74;1333
Johannesburg B SD: JHB_B;4;49;1231
Johannesburg C SD: JHB_C;12,7;93;735
Johannesburg D SD: JHB_D;4,5;174;3889
Johannesburg E SD: JHB_E;4;51;1264
Johannesburg F SD: JHB_F;8,5;145;1712
Johannesburg G SD: JHB_G;8;110;1368
Johannesburg MM: JHB;6;696;11532
Johannesburg MM: JHB_MM;6;696;11532
Jozini LM: KZN272;1,7;8;458
JT Gaetsewe DM: DC45;10,4;122;1175
Kagisano-Molopo LM: NW397;4,4;24;541
Kai !Garib LM: NC082;13,6;71;521
Kamiesberg LM: NC064;10,4;7;67
Kannaland LM: WC041;13,4;45;335
Kareeberg LM: NC074;8,1;6;74
Karoo Hoogland LM: NC066;12,2;10;82
Kgatelopele LM: NC086;10,1;7;69
Kgetlengrivier LM: NW374;3,8;12;320
Khâi-Ma LM: NC067;8;8;100
King Cetshwayo DM: DC28;2,7;107;4010
King Sabata Dalindyebo LM: EC157;6;173;2898
Knysna LM: WC048;20,5;122;595
Kopanong LM: FS162;10,9;21;193
