geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
!Kheis LM: NC084;NC;131;78;7;15;;;;;11,5;5,3;;92,5
A Nzo DM: DC44;EC;2644;1538;194;187;4,3;29214;61,904;83,862;7,1;7,3;12,9;96,02
Abaqulusi LM: KZN263;KZ;699;425;27;6;;;;;0,86;3,9;0;98,03
Alfred Duma LM: KZN238;KZ;849;493;51;47;;;;;5,5;6;;95,03
Amahlathi LM: EC124;EC;663;370;34;43;;;;;6,5;5,1;100;91,37
Amajuba DM: DC25;KZ;1916;995;92;90;7,18;36240;142,563;86,739;4,7;4,8;0;97,08
Amathole DM: DC12;EC;5231;2735;275;369;5,8;57192;89,03;39,979;7,1;5,3;17,4;94,96
Ba-Phalaborwa LM: LIM334;LP;234;110;9;14;;;;;6;3,8;;92,81
Beaufort West LM: WC053;WC;639;368;23;77;;;;;12,1;3,6;0;94,24
Bela-Bela LM: LIM366;LP;149;78;8;1;;;;;0,67;5,4;0;91,89
Bergrivier LM: WC013;WC;628;388;13;71;;;;;11,3;2,1;0;89,42
Big 5 Hlabisa LM: KZN276;KZ;499;248;13;3;;;;;0,6;2,6;0;96,39
Bitou LM: WC047;WC;468;246;16;79;;;;;16,9;3,4;0;90,42
Bloemfontein SD: MAN_Bloem;FS;1922;946;128;139;;;;;7,2;6,7;7,7;71,86
Blouberg LM: LIM351;LP;297;164;21;1;;;;;0,34;7,1;;95,97
Blue Crane Route LM: EC102;EC;376;250;15;34;;;;;9;4;;88,81
Bojanala Platinum DM: DC37;NW;3009;1937;196;142;14,93;49259;123,307;106,771;4,7;6,5;0;89,04
Botshabelo SD: MAN_Bot;FS;646;385;51;26;;;;;4;7,9;0;88,34
Breede Valley LM: WC025;WC;2029;1040;44;295;;;;;14,5;2,2;0;93,75
Buffalo City MM: BUF;EC;7006;4256;270;476;20,9;68828;60,547;320,33;6,8;3,9;6,8;96,98
Buffalo City MM: BUF_MM;EC;7006;4256;270;476;;;;;6,8;3,9;6,8;96,98
Buffalo City SD: BUF_SD;EC;7006;4256;270;476;;;;;6,8;3,9;6,8;96,98
Bushbuckridge LM: MP325;MP;1587;912;131;52;;;;;3,3;8,3;0;97,09
C Hani DM: DC13;EC;3340;2024;205;367;5,4;40018;72,839;20,668;11;6,1;4;94,16
Cape Agulhas LM: WC033;WC;273;115;18;62;;;;;22,7;6,6;0;89,55
Cape Town MM: CPT;WC;25202;14112;676;3654;27,8;238510;69,901;2034,557;14,5;2,7;0,6;96,21
Cape Town MM: CPT_MM;WC;25202;14112;676;3654;;;;;14,5;2,7;0,6;96,21
Cape Winelands DM: DC2;WC;8091;4484;196;1025;18,72;55280;58,602;47,221;12,7;2,4;0;89,62
Capricorn DM: DC35;LP;2288;1115;215;18;9,13;35585;146,362;66,435;0,79;9,4;0;91,5
Cederberg LM: WC012;WC;639;304;30;137;;;;;21,4;4,7;0;80,92
Central Karoo DM: DC5;WC;918;505;33;132;14,68;7551;87,965;2,004;14,4;3,6;0;94,03
Chief Albert Luthuli LM: MP301;MP;443;223;43;16;;;;;3,6;9,7;0;93,86
City of Ekurhuleni MM: EKU;GP;7294;3931;231;239;22,4;164421;118,276;2019,175;3,3;3,2;0;95,98
City of Matlosana LM: NW403;NW;1638;1167;46;21;;;;;1,3;2,8;28,6;91,04
City of Mbombela LM: MP326;MP;2088;1197;111;73;;;;;3,5;5,3;4;93,95
City of uMhlathuze LM: KZN282;KZ;2116;1053;154;56;;;;;2,6;7,3;0;96,76
